t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 2 	 11.38041 	 0.783679 	 0.4824077 	 0.1644305 	 235 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 7 	 10.0542 	 0.135427 	 0.9445543 	 0.3500198 	 359 	 F 	 9 	 1 	 NA 	 NA 	 1
 1 	 9 	 10.11467 	 -0.1856442 	 0.4165537 	 0.2884657 	 174 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 11 	 10.31444 	 0.3474154 	 -0.606678 	 -0.5000644 	 251 	 F 	 5 	 1 	 NA 	 NA 	 1
 1 	 12 	 11.20675 	 0.473803 	 -0.2189741 	 0.1851333 	 77 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 16 	 10.74926 	 0.5638404 	 -0.3353288 	 -1.277101 	 151 	 F 	 5 	 1 	 NA 	 NA 	 1
 1 	 21 	 10.39692 	 0.4388705 	 -0.5560302 	 0.09235679 	 207 	 F 	 3 	 1 	 NA 	 NA 	 1
 1 	 22 	 11.81179 	 1.184802 	 0.9577836 	 0.4444559 	 387 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 23 	 10.07479 	 -0.3403455 	 -0.4213908 	 -0.2970032 	 172 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 24 	 11.96612 	 1.038574 	 0.2636236 	 0.1025403 	 109 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 25 	 11.14748 	 0.9335023 	 -0.06196864 	 0.4000419 	 20 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 26 	 10.64445 	 0.6176588 	 -0.1961064 	 0.3722427 	 94 	 F 	 1 	 1 	 NA 	 NA 	 1
 1 	 27 	 11.56761 	 0.6461747 	 -0.8475204 	 -0.01904098 	 345 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 28 	 10.37756 	 -0.1249484 	 1.277833 	 0.7990751 	 533 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 29 	 10.99676 	 1.017248 	 0.2194049 	 0.6774036 	 87 	 F 	 3 	 1 	 NA 	 NA 	 1
 1 	 31 	 9.134792 	 -0.8652082 	 0.85996 	 0.5396365 	 0 	 M 	 0 	 0 	 7 	 28 	 1
 1 	 32 	 9.263453 	 -0.7365471 	 1.213372 	 0.6994468 	 0 	 M 	 0 	 0 	 7 	 28 	 1
 1 	 33 	 9.079017 	 -0.9209826 	 0.155315 	 0.5671075 	 0 	 M 	 0 	 0 	 7 	 28 	 1
